Target Distance: 50, Step Size: 2
103: (x,y) = (0.356491, 0.902083)
104: (x,y) = (-1.4411, 0.0253409)
105: (x,y) = (-0.441097, -1.70671)
106: (x,y) = (-0.336425, 0.290549)
107: (x,y) = (1.00184, -1.19574)
108: (x,y) = (-0.954459, -1.61156)
109: (x,y) = (0.621562, -2.84289)
110: (x,y) = (2.17585, -1.58425)
111: (x,y) = (3.70794, -2.86982)
112: (x,y) = (1.7592, -3.31972)
113: (x,y) = (0.101128, -4.43811)
114: (x,y) = (-1.43096, -3.15253)
115: (x,y) = (-3.43096, -3.15253)
116: (x,y) = (-5.1453, -4.18261)
117: (x,y) = (-3.48722, -5.301)
118: (x,y) = (-5.47961, -5.12668)
119: (x,y) = (-3.84131, -6.27384)
120: (x,y) = (-5.49938, -5.15545)
121: (x,y) = (-5.67369, -3.16306)
122: (x,y) = (-6.02099, -5.13268)
123: (x,y) = (-7.69833, -4.0434)
124: (x,y) = (-9.69346, -3.90389)
125: (x,y) = (-8.63362, -5.59998)
126: (x,y) = (-10.1199, -6.93824)
127: (x,y) = (-10.329, -4.9492)
128: (x,y) = (-9.21058, -3.29113)
129: (x,y) = (-10.0241, -1.46403)
130: (x,y) = (-8.15689, -0.747298)
131: (x,y) = (-9.24617, 0.930043)
132: (x,y) = (-7.93405, -0.579376)
133: (x,y) = (-6.16816, -1.51832)
134: (x,y) = (-6.54978, 0.444935)
135: (x,y) = (-8.50607, 0.0291116)
136: (x,y) = (-10.4548, -0.420791)
137: (x,y) = (-12.4545, -0.385886)
138: (x,y) = (-13.8438, -1.82457)
139: (x,y) = (-12.0618, -2.73255)
140: (x,y) = (-11.0317, -1.01821)
141: (x,y) = (-9.04664, -1.26195)
142: (x,y) = (-9.2557, -3.25099)
143: (x,y) = (-10.8737, -4.42656)
144: (x,y) = (-8.91048, -4.80818)
145: (x,y) = (-10.5077, -6.01181)
146: (x,y) = (-8.79341, -4.98174)
147: (x,y) = (-8.96773, -2.98935)
148: (x,y) = (-8.79341, -4.98174)
149: (x,y) = (-8.27578, -6.91359)
150: (x,y) = (-7.1865, -8.59093)
151: (x,y) = (-8.41782, -7.01491)
152: (x,y) = (-7.41782, -5.28286)
153: (x,y) = (-8.5071, -3.60552)
154: (x,y) = (-10.1251, -4.78109)
155: (x,y) = (-8.71092, -6.1953)
156: (x,y) = (-7.65108, -4.4992)
157: (x,y) = (-8.13492, -6.4398)
158: (x,y) = (-6.40287, -5.4398)
159: (x,y) = (-5.3728, -7.15413)
160: (x,y) = (-5.75442, -9.11738)
161: (x,y) = (-4.87767, -10.915)
162: (x,y) = (-5.78565, -12.697)
163: (x,y) = (-4.0536, -11.697)
164: (x,y) = (-2.24099, -12.5422)
165: (x,y) = (-2.31079, -14.541)
166: (x,y) = (-2.96192, -12.65)
167: (x,y) = (-1.93185, -14.3643)
168: (x,y) = (-3.75894, -13.5508)
169: (x,y) = (-2.34472, -12.1366)
170: (x,y) = (-0.359632, -12.3804)
171: (x,y) = (-1.93565, -13.6117)
172: (x,y) = (-3.90527, -13.959)
173: (x,y) = (-1.90527, -13.959)
174: (x,y) = (-3.5233, -12.7834)
175: (x,y) = (-4.40005, -14.581)
176: (x,y) = (-5.08409, -16.4604)
177: (x,y) = (-6.23124, -18.0987)
178: (x,y) = (-4.49919, -19.0987)
179: (x,y) = (-3.46911, -20.813)
180: (x,y) = (-1.87184, -19.6094)
181: (x,y) = (-3.8691, -19.7141)
182: (x,y) = (-1.88856, -19.4357)
183: (x,y) = (-2.82751, -21.2016)
184: (x,y) = (-4.24172, -22.6158)
185: (x,y) = (-6.09609, -21.8666)
186: (x,y) = (-5.15715, -20.1007)
187: (x,y) = (-3.79315, -18.638)
188: (x,y) = (-1.96606, -17.8245)
189: (x,y) = (-3.56333, -16.6209)
190: (x,y) = (-2.68659, -18.4185)
191: (x,y) = (-4.5276, -19.1999)
192: (x,y) = (-2.90956, -18.0244)
193: (x,y) = (-1.19523, -16.9943)
194: (x,y) = (0.0360957, -15.4183)
195: (x,y) = (0.383392, -17.3879)
196: (x,y) = (-1.29395, -18.4772)
197: (x,y) = (-2.78024, -17.1389)
198: (x,y) = (-0.795146, -17.3827)
199: (x,y) = (-1.34642, -19.3052)
200: (x,y) = (-1.96446, -21.2073)
201: (x,y) = (-0.073418, -20.5562)
202: (x,y) = (1.5026, -19.3248)
203: (x,y) = (3.21694, -18.2948)
204: (x,y) = (4.77123, -19.5534)
205: (x,y) = (5.38926, -21.4555)
206: (x,y) = (4.93936, -19.5068)
207: (x,y) = (3.08499, -18.7576)
208: (x,y) = (1.08987, -18.618)
209: (x,y) = (2.1497, -16.9219)
210: (x,y) = (0.337089, -16.0767)
211: (x,y) = (1.56841, -14.5007)
212: (x,y) = (-0.380328, -14.9506)
213: (x,y) = (1.03389, -16.3648)
214: (x,y) = (1.34675, -14.3894)
215: (x,y) = (2.06349, -16.2566)
216: (x,y) = (0.624811, -17.6459)
217: (x,y) = (0.729483, -19.6432)
218: (x,y) = (-1.24589, -19.956)
219: (x,y) = (-2.8842, -21.1032)
220: (x,y) = (-4.61625, -22.1032)
221: (x,y) = (-6.41384, -21.2264)
222: (x,y) = (-4.5228, -21.8776)
223: (x,y) = (-4.10698, -23.8339)
224: (x,y) = (-2.12188, -24.0776)
225: (x,y) = (-0.294793, -24.8911)
226: (x,y) = (0.323241, -26.7932)
227: (x,y) = (1.47039, -25.1549)
228: (x,y) = (-0.31162, -24.2469)
229: (x,y) = (0.533617, -26.0595)
230: (x,y) = (2.21096, -24.9703)
231: (x,y) = (1.76106, -26.919)
232: (x,y) = (0.228967, -28.2046)
233: (x,y) = (-0.889419, -26.5465)
234: (x,y) = (-2.35213, -25.1825)
235: (x,y) = (-0.937913, -23.7683)
236: (x,y) = (-0.763601, -25.7607)
237: (x,y) = (-2.36087, -26.9643)
238: (x,y) = (-4.36057, -26.9294)
239: (x,y) = (-4.9786, -25.0273)
240: (x,y) = (-3.66648, -26.5367)
241: (x,y) = (-4.60543, -24.7708)
242: (x,y) = (-4.67523, -26.7696)
243: (x,y) = (-4.95357, -28.7501)
244: (x,y) = (-5.40347, -26.8014)
245: (x,y) = (-3.60589, -25.9246)
246: (x,y) = (-3.9875, -27.8879)
247: (x,y) = (-2.54882, -29.2772)
248: (x,y) = (-3.23286, -31.1566)
249: (x,y) = (-4.54498, -29.6472)
250: (x,y) = (-4.37067, -27.6548)
251: (x,y) = (-5.48906, -25.9967)
252: (x,y) = (-6.45868, -24.2475)
253: (x,y) = (-7.14272, -26.1269)
254: (x,y) = (-8.98373, -26.9083)
255: (x,y) = (-7.04313, -27.3922)
256: (x,y) = (-7.42475, -29.3554)
257: (x,y) = (-5.42597, -29.2856)
258: (x,y) = (-7.4211, -29.1461)
259: (x,y) = (-9.42079, -29.181)
260: (x,y) = (-9.4557, -27.1813)
261: (x,y) = (-11.3578, -26.5633)
262: (x,y) = (-12.2968, -24.7974)
263: (x,y) = (-14.0627, -23.8584)
264: (x,y) = (-12.0994, -23.4768)
265: (x,y) = (-10.1868, -22.8921)
266: (x,y) = (-11.7841, -24.0957)
267: (x,y) = (-9.88194, -23.4777)
268: (x,y) = (-8.22387, -24.5961)
269: (x,y) = (-6.28328, -25.0799)
270: (x,y) = (-4.55123, -24.0799)
271: (x,y) = (-4.48143, -26.0787)
272: (x,y) = (-2.54084, -25.5948)
273: (x,y) = (-2.19354, -23.6252)
274: (x,y) = (-3.90788, -22.5952)
275: (x,y) = (-4.87749, -24.3444)
276: (x,y) = (-4.56463, -26.3198)
277: (x,y) = (-6.09671, -27.6053)
278: (x,y) = (-6.97346, -29.4029)
279: (x,y) = (-4.98107, -29.5772)
280: (x,y) = (-4.07309, -27.7952)
281: (x,y) = (-3.07309, -26.0632)
282: (x,y) = (-4.24866, -24.4451)
283: (x,y) = (-2.25353, -24.5847)
284: (x,y) = (-1.16425, -22.9073)
285: (x,y) = (-2.8963, -21.9073)
286: (x,y) = (-3.20917, -23.8827)
287: (x,y) = (-4.35632, -25.521)
288: (x,y) = (-6.0144, -24.4026)
289: (x,y) = (-5.73605, -26.3832)
290: (x,y) = (-7.54867, -25.5379)
291: (x,y) = (-7.20137, -27.5075)
292: (x,y) = (-5.41936, -26.5995)
293: (x,y) = (-3.53997, -27.2836)
294: (x,y) = (-4.95419, -25.8694)
295: (x,y) = (-6.89478, -26.3532)
296: (x,y) = (-8.51281, -27.5288)
297: (x,y) = (-6.57222, -28.0126)
298: (x,y) = (-4.63163, -27.5288)
299: (x,y) = (-4.31876, -29.5042)
300: (x,y) = (-3.97146, -27.5346)
301: (x,y) = (-3.76241, -29.5236)
302: (x,y) = (-2.42415, -28.0373)
303: (x,y) = (-4.20616, -27.1293)
304: (x,y) = (-2.23078, -27.4422)
305: (x,y) = (-1.88349, -29.4118)
306: (x,y) = (-3.57958, -28.352)
307: (x,y) = (-4.36104, -30.193)
308: (x,y) = (-6.12694, -31.1319)
309: (x,y) = (-7.35826, -29.5559)
310: (x,y) = (-7.77409, -27.5996)
311: (x,y) = (-9.23679, -26.2356)
312: (x,y) = (-7.2517, -25.9919)
313: (x,y) = (-5.45411, -26.8686)
314: (x,y) = (-6.48419, -25.1543)
315: (x,y) = (-6.6585, -27.1467)
316: (x,y) = (-5.08248, -25.9153)
317: (x,y) = (-4.1745, -24.1333)
318: (x,y) = (-6.13079, -23.7175)
319: (x,y) = (-8.10041, -24.0648)
320: (x,y) = (-7.28694, -25.8919)
321: (x,y) = (-9.00127, -26.922)
322: (x,y) = (-10.7833, -26.014)
323: (x,y) = (-12.6854, -25.396)
324: (x,y) = (-11.567, -23.7379)
325: (x,y) = (-12.185, -21.8358)
326: (x,y) = (-10.7464, -23.2251)
327: (x,y) = (-9.08829, -24.3435)
328: (x,y) = (-9.43559, -26.3131)
329: (x,y) = (-9.43559, -28.3131)
330: (x,y) = (-11.2015, -27.3741)
331: (x,y) = (-10.1714, -29.0885)
332: (x,y) = (-8.31704, -29.8377)
333: (x,y) = (-8.73286, -27.8814)
334: (x,y) = (-9.9915, -29.4357)
335: (x,y) = (-7.99181, -29.4706)
336: (x,y) = (-8.74102, -27.6162)
337: (x,y) = (-9.05389, -29.5916)
338: (x,y) = (-9.08879, -27.5919)
339: (x,y) = (-7.37446, -26.5618)
340: (x,y) = (-8.92875, -27.8205)
341: (x,y) = (-10.926, -27.9251)
342: (x,y) = (-11.8956, -29.6744)
343: (x,y) = (-13.8362, -29.1905)
344: (x,y) = (-11.8511, -29.4343)
345: (x,y) = (-11.1671, -27.5549)
346: (x,y) = (-10.7172, -25.6062)
347: (x,y) = (-12.6804, -25.2245)
348: (x,y) = (-14.6292, -24.7746)
349: (x,y) = (-12.9909, -25.9218)
350: (x,y) = (-12.4396, -27.8443)
351: (x,y) = (-12.9572, -25.9125)
352: (x,y) = (-14.956, -25.9823)
353: (x,y) = (-16.3453, -27.4209)
354: (x,y) = (-17.2533, -29.2029)
355: (x,y) = (-18.8293, -30.4343)
356: (x,y) = (-16.9622, -31.151)
357: (x,y) = (-15.095, -31.8677)
358: (x,y) = (-17.0841, -31.6587)
359: (x,y) = (-18.2596, -30.0407)
360: (x,y) = (-20.1268, -29.3239)
361: (x,y) = (-18.2358, -29.9751)
362: (x,y) = (-16.3132, -30.5263)
363: (x,y) = (-17.5988, -28.9942)
364: (x,y) = (-19.1309, -27.7087)
365: (x,y) = (-17.4536, -26.6194)
366: (x,y) = (-19.1309, -27.7087)
367: (x,y) = (-18.8526, -25.7281)
368: (x,y) = (-20.8222, -25.3808)
369: (x,y) = (-21.8222, -27.1129)
370: (x,y) = (-20.2679, -28.3715)
371: (x,y) = (-19.9206, -30.3411)
372: (x,y) = (-18.5823, -31.8274)
373: (x,y) = (-20.021, -33.2167)
374: (x,y) = (-18.1416, -33.9008)
375: (x,y) = (-19.6959, -35.1594)
376: (x,y) = (-21.6883, -34.9851)
377: (x,y) = (-23.5555, -34.2684)
378: (x,y) = (-25.2135, -33.15)
379: (x,y) = (-27.1156, -33.768)
380: (x,y) = (-27.2203, -35.7653)
381: (x,y) = (-26.131, -37.4426)
382: (x,y) = (-26.9445, -39.2697)
383: (x,y) = (-26.163, -41.1107)
384: (x,y) = (-26.8142, -43.0018)
After 384 steps, the subject has following location:
(x,y) = (-26.8142, -43.0018)
or
 (m,a) = (50.6769, -121.946)
Average outward distance per step = 0.131971

